,popularity,budget,revenue,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
0,32.985763,150000000,1513528810,124,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",5562,6.5,2015,137999939.280026,1392445892.5238
1,28.419936,150000000,378436354,120,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6185,7.1,2015,137999939.280026,348161292.489031
2,13.112507,110000000,295238201,119,"['Adventure', 'Science Fiction', 'Thriller']",2480,6.3,2015,101199955.472019,271619025.407628
3,11.173104,200000000,2068178225,136,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",5292,7.5,2015,183999919.040035,1902723129.80182
4,9.335014,190000000,1506249360,137,"['Action', 'Crime', 'Thriller']",2947,7.3,2015,174799923.088033,1385748801.47052
5,9.1107,135000000,532950503,156,"['Western', 'Drama', 'Adventure', 'Thriller']",3929,7.2,2015,124199945.352024,490314247.021731
6,8.654359,155000000,440603537,125,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",2598,5.8,2015,142599937.256027,405355075.683766
7,7.6674,108000000,595380321,141,"['Drama', 'Adventure', 'Science Fiction']",4572,7.6,2015,99359956.2816192,547749654.310152
8,7.40416499999999,74000000,1156730962,91,"['Family', 'Animation', 'Adventure', 'Comedy']",2893,6.5,2015,68079970.0448131,1064192016.79551
9,6.326804,175000000,853708609,94,"['Comedy', 'Animation', 'Family']",3935,8.0,2015,160999929.160031,785411574.698907
10,6.200282,245000000,880674609,148,"['Action', 'Adventure', 'Crime']",3254,6.2,2015,225399900.824043,810220283.783075
11,6.189369,176000003,183987723,124,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",1937,5.2,2015,161919931.51523,169268630.681802
12,6.118847,15000000,36869414,108,"['Drama', 'Science Fiction']",2854,7.6,2015,13799993.9280026,33919845.9552677
13,5.984995,88000000,243637091,105,"['Action', 'Comedy', 'Science Fiction']",1575,5.8,2015,80959964.3776156,224146025.095748
14,5.944927,280000000,1405035767,141,"['Action', 'Adventure', 'Science Fiction']",4304,7.4,2015,257599886.656049,1292632336.88177
15,5.8984,44000000,155760117,167,"['Crime', 'Drama', 'Mystery', 'Western']",2389,7.4,2015,40479982.1888078,143299244.588332
16,5.749758,48000000,325771424,109,"['Crime', 'Action', 'Thriller']",1578,6.1,2015,44159980.5696085,299709578.207785
17,5.573184,130000000,518602163,115,"['Science Fiction', 'Action', 'Adventure']",3779,7.0,2015,119599947.376023,477113780.029936
